InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,ProjectCode
SO2008188,I1C0160001,CALCIUM CARBONATE,750,09/09/2020,18,CUSB006,PC200964
SO2008200,I1S0110011,STEEL SHOT                S-550 (25KGS/BAG),3000,09/09/2020,25,CUST024,SS200248
SO2009012,I2N0030006,NYLON VENT  DIA.25X7H(SLIT:0.40MM.)(WHITE),600,09/09/2020,50,CUST054,PA200983
SO2009015,I2B0020098,BOLT                  WA 0150,8,09/09/2020,100,CUSE001,PB200986
SO2009016,I1S0110012,STEEL SHOT            S-230 (25KGS/BAG),12000,09/09/2020,25,CUSK047,SS200250
SO2009032,I2F0010012,RETURN  FILTER ELEMENT            M40-010P-GS,1,09/09/2020,26885,CUSI003,PA200998
SO2009033,I1C0160001,CALCIUM CARBONATE,1800,09/09/2020,13,CUSA002,PC200999
SO2009051,I2B0060004,BLADE  ( 8PCS/SET )          WA 2067,8,09/09/2020,4800,CUST133,PB201012
SO2009052,I2C0070011,BEARING COVER        WA 2165,2,09/09/2020,15300,CUST133,PB201013
SO2009056,I1C0160001,CALCIUM CARBONATE    (25KGS/BAG),25,09/09/2020,18,CUSK060,PC201015
SO2009036,I1S0110003,BRITE SHOT       AZ-8S (20 KGS/PACK),600,10/09/2020,225,CUSK007,SZ200254
SO2009058,I1S0110009,STEEL SHOT             SAE-280(SB-8),500,10/09/2020,45,CUSS105,SS200258
SO2005012,I2C0070003,COVER                   3B5550A0009,3,11/09/2020,72675,CUSK006,PB200579
SO2005012,I2L0010035,LINER                     SCB T1582,3,11/09/2020,5695,CUSK006,PB200579
SO2005012,I2L0010173,LINER                     3B7520B0090,1,11/09/2020,9775,CUSK006,PB200579
SO2005012,I2L0010018,LINER                     3B7520B0091,1,11/09/2020,5100,CUSK006,PB200579
SO2005012,I2L0010017,LINER                     3B7520B0088,1,11/09/2020,6375,CUSK006,PB200579
SO2005012,I2C0040027,COLLAR                  3B7520A2007,8,11/09/2020,1445,CUSK006,PB200579
SO2005012,I2S0060153,SPACER                  3B6320A2018,8,11/09/2020,1020,CUSK006,PB200579
SO2005012,I2S0060032,SPACER                  WA 3672,8,11/09/2020,1955,CUSK006,PB200579
SO2005012,I2L0010110,LINER                     3B7530A0007,8,11/09/2020,935,CUSK006,PB200579
SO2005012,I2S0030439,SEAL                       3B2310B0211,1,11/09/2020,1445,CUSK006,PB200579
SO2005012,I2S0030217,SEAL                       ZS 0006(ha),1,11/09/2020,2720,CUSK006,PB200579
SO2005012,I200005077,SEAL UNIT              3B6H1NG2006,2,11/09/2020,38250,CUSK006,PB200579
SO2006083,I2C0140004,THERMOCOUPLE      IC DIA.6.4X200-2000L,1,12/09/2020,8800,CUSS006,PA200716
SO2007037,I2R0020004,ROD                         KOT104 1004,2,12/09/2020,13500,CUSS006,PA200765
SO2009059,I2B0060005,BLADE           WA 2075C,1,12/09/2020,4800,CUSB022,PB201017
SO2009059,I2L0010015,END LINER             3A7520A0054,2,12/09/2020,9900,CUSB022,PB201017
SO2009059,I2L0010016,TOP LINER              3A7520A0055,1,12/09/2020,7200,CUSB022,PB201017
SO2008189,I1S0110005,STEEL SHOT            SAE-S70(SB-2),375,14/09/2020,48,CUSA006,SS200246
SO2008189,I1G0050001,STEEL  GRIT             G-120 (GH-1),125,14/09/2020,45,CUSA006,SS200246
SO2009074,I1G0050009,STEEL GRIT         G-40(GH)(25KGS/BAG),50,14/09/2020,48,CUSA006,SS200259
SO2009083,I2M0020045,CERAMIC MEDIA             V3-T5X5,40,14/09/2020,345,CUSJ011,SS200261
SO2009085,I2A0010001,ALUMINUM BALL      K1-B4  (20KGS/PACK),100,14/09/2020,375,CUSN003,SS200262
SO2009090,I1C0160001,CALCIUM   CARBONATE   (25KGS/BAG),250,14/09/2020,15,CUSA006,PC201033
SO2008166,I2B0060004,BLADE         WA 2067B,1,15/09/2020,4560,CUSS018,PB200952
SO2009034,I1A0040006,WHITE ARUNDUM          WA#100,250,15/09/2020,150,CUSC001,SS200253
SO2009082,I1S0110012,STEEL SHOT                        S-230,250,15/09/2020,45,CUSJ011,SS200260
SO2009100,I2M0020020,SINTERED MEDIA (20KGS/BAG)    V7-EG15x12,20,15/09/2020,300,CUSS172,SS200264
SO2008201,I1S0110003,BRITE SHOT     AZ-8S,40,16/09/2020,252,CUST009,SZ200249
SO2008201,I1S0110003,BRITE SHOT     AZ-8S,60,16/09/2020,252,CUST009,SZ200249
SO2009078,I2B0060005,BLADE           WA 2075C,1,16/09/2020,4800,CUSK035,PB201026
SO2009078,I2D0020005,DISTRIBUTOR               WA 1802D,1,16/09/2020,2000,CUSK035,PB201026
SO2009095,I1C0160001,CALCIUM CARBONATE (25KGS/PACK),250,16/09/2020,18,CUSJ006,PC201035
SO2009098,I2L0010016,TOP LINER          3A7520A0055,2,16/09/2020,6840,CUSI003,PB201038
SO2004029,I100001904,SURFACE ACTIVE AGENT BINDER    KKZ01-TH,530,17/09/2020,161,CUSS006,SA200132
SO2009109,I1S0110013,STEEL SHOT        S-330(SB-10),300,17/09/2020,32,CUSS152,SS200265
SO2009109,I1G0050014,STEEL GRIT         G-80(GH),50,17/09/2020,32,CUSS152,SS200265
SO2009110,I1G0050004,STEEL GRIT             G-80S,500,17/09/2020,43,CUSS017,SS200266
SO2009114,I100003119,STAINLESS STEEL CUT WIRE        SUS430 CCW(0.6MM),700,17/09/2020,187,CUSA013,SS200268
SO2006042,I2S0180014,SHAFT                BE A0420,1,18/09/2020,17000,CUSI001,PB200689
SO2006042,I2P0040008,PULLEY               BE A0424A,1,18/09/2020,37000,CUSI001,PB200689
SO2007023,I2C0010003,CARTRIDGE FILTER              FXN-4080CG-002,6,18/09/2020,12000,CUSN012,PB200756
SO2007023,I2C0070045,COVER              CDB F1954,1,18/09/2020,28000,CUSN012,PB200756
SO2007023,I2B0090003,BELLOW           190X140-JN623-021,2,18/09/2020,27100,CUSN012,PB200756
SO2007062,I2D0020005,DISTRIBUTOR             WA 1802,10,18/09/2020,2000,CUST054,PB200778
SO2007062,I2L0010015,END LINER               3A7520A0054,6,18/09/2020,9900,CUST054,PB200778
SO2007062,I2L0010016,TOP LINER               3A7520A0055,6,18/09/2020,7200,CUST054,PB200778
SO2007076,I2S0110013,PLASHOT            PSM40 ( 20KGS/PACK ),40,21/09/2020,650,CUSR025,SS200190
SO2009121,I2L0010015,END LINER                             3A7520A0054,2,21/09/2020,9405,CUSK001,PB201048
SO2009121,I2S0170002,SIDE PLATE(WHEEL ASS'Y)           X-30 264,1,21/09/2020,78850,CUSK001,PB201048
SO2009123,I1C0160001,CALCIUM CARBONATE (25KGS/PACK),350,21/09/2020,18,CUST007,PC201050
SO2009125,I2S0110001,ADVANCE SHOT               AD-4 (20 KGS/BAG),200,21/09/2020,350,CUSP001,SZ200270
SO2009128,I1C0160001,CALCIUM CARBONATE   (25KGS/BAG),100,21/09/2020,15,CUSM051,PC201054
SO2009131,I1C0160001,CALCIUM CARBONATE(25KGS/PACK),3000,21/09/2020,10,CUST044,PC201057
SO2009132,I200004732,STRAINER                   VF A1385 + VF A2036,1,21/09/2020,36575,CUSJ006,PB200346
SO2009135,I2B0060005,BLADE                WA 2075C,1,21/09/2020,4800,CUSJ006,PB201059
SO2009141,I1C0160001,CALCIUM CARBONATE (25KGS/PACK),500,21/09/2020,18,CUSJ006,PC201065
SO2009142,I1C0160001,CALCIUM CARBONATE (25KGS/PACK),100,21/09/2020,18,CUST018,PC201066
SO2009143,I1C0160001,CALCIUM CARBONATE   (25KGS/PCS),175,21/09/2020,18,CUST007,PC201067
SO2009146,I100002867,STAINLESS STEEL CUT WIRE  SUS201 CCW(0.6MM),525,21/09/2020,225,CUSS023,SS200273
SO2006020,I2R0030031,ROLLER              4A4050A2001,3,22/09/2020,3528,CUSS006,PA200671
SO2006021,I200000996,AXEL                  TS-5091-1423,2,22/09/2020,46550,CUSS006,PA200671
SO2006021,I200000998,AXEL                  TS-5091-1421,1,22/09/2020,64484,CUSS006,PA200671
SO2006021,I200001000,AXEL                  TS-5091-1422,1,22/09/2020,45570,CUSS006,PA200671
SO2006036,I200005231,GEAR                 X85107 0009,1,22/09/2020,14500,CUSS006,PA200683
SO2006037,I200005232,GEAR                         X85107 0010,1,22/09/2020,18500,CUSS006,PA200684
SO2006050,I2C0080229,AIR CYLINDER,1,22/09/2020,86730,CUSS006,PA200692
SO2006055,I2T0060006,"TUB (POT)         SKC A0145 (i,ro)",2,22/09/2020,50600,CUSS036,PB200697
SO2006055,I2L0040007,"LID                    SKC A0146 (i,ro)",4,22/09/2020,40000,CUSS036,PB200697
SO2006055,I200001710,PACKING         SKC A0148,4,22/09/2020,1900,CUSS036,PB200697
SO2006094,I200000714,CLOSED CELL SPONGE RUBBEER        20TX20BX1000L,5,22/09/2020,595,CUSM006,PB200724
SO2006094,I2N0020044,HEX CAP NUT               9*N06A12(M12),4,22/09/2020,26,CUSM006,PB200724
SO2006094,I200004663,SPONGE RUBBER          25BX25TX730L,2,22/09/2020,595,CUSM006,PB200724
SO2006094,I200004662,SPONGE RUBBER           25BX25TX1680L,2,22/09/2020,1105,CUSM006,PB200724
SO2006094,I2L0010004,LINER              23 009,4,22/09/2020,2635,CUSM006,PB200724
SO2006094,I2N0020007,NUT                 WZ8 0320B,40,22/09/2020,425,CUSM006,PB200724
SO2006094,I100004048,PULLEY                TI015A3B056B,1,22/09/2020,9180,CUSM006,PB200724
SO2006094,I200001459,PULLEY,1,22/09/2020,11815,CUSM006,PB200724
SO2006094,I2L0010002,LINER              15 003A,4,22/09/2020,3230,CUSM006,PB200724
SO2006094,I2L0010003,LINER              15 033A,2,22/09/2020,3060,CUSM006,PB200724
SO2006094,I2N0020006,NUT                 WZ8 0234A,12,22/09/2020,425,CUSM006,PB200724
SO2006094,I2L0010013,LINER               3A7520A0041,4,22/09/2020,2380,CUSM006,PB200724
SO2006094,I2L0010014,LINER               3A7520A0042,4,22/09/2020,2210,CUSM006,PB200724
SO2006094,I1B0010023,BE BELT ASSEMBLY  A3 23127,1,22/09/2020,42500,CUSM006,PB200724
SO2006097,I200000714,CLOSED CELL SPONGE RUBBEER        20TX20BX1000L,5,22/09/2020,595,CUSM006,PB200727
SO2006097,I2N0020044,HEX CAP NUT                 9*N06A12(M12),4,22/09/2020,26,CUSM006,PB200727
SO2006097,I200004663,SPONGE RUBBER            25BX25TX730L,2,22/09/2020,595,CUSM006,PB200727
SO2006097,I200004662,SPONGE RUBBER            25BX25TX1680L,2,22/09/2020,1105,CUSM006,PB200727
SO2006097,I2L0010004,LINER              23 009,4,22/09/2020,2635,CUSM006,PB200727
SO2006097,I2N0020007,NUT                 WZ8 0320,20,22/09/2020,425,CUSM006,PB200727
SO2006097,I100004048,PULLEY               TI015A3B056B,1,22/09/2020,9180,CUSM006,PB200727
SO2006097,I200001459,PULLEY         ,1,22/09/2020,11815,CUSM006,PB200727
SO2006097,I2L0010002,LINER              15 003,2,22/09/2020,3230,CUSM006,PB200727
SO2006097,I2L0010003,LINER              15 033A,2,22/09/2020,3060,CUSM006,PB200727
SO2006097,I2N0020006,NUT                 WZ8 0234,12,22/09/2020,425,CUSM006,PB200727
SO2006097,I2L0010013,LINER               3A7520A0041,4,22/09/2020,2380,CUSM006,PB200727
SO2006097,I2L0010014,LINER               3A7520A0042,4,22/09/2020,2210,CUSM006,PB200727
SO2006097,I1B0010023,BE BELT ASSEMBLY FOR TI019A3B188,1,22/09/2020,45900,CUSM006,PB200727
SO2006122,I2B0050109,BUSHING                    MIE 0075,1,22/09/2020,7350,CUSS006,PA200744
SO2006123,I2P0060054,PIPE                      CDB C1220,1,22/09/2020,56700,CUST017,PB200745
SO2006129,I200005242,ELECTROMAGNETIC PUMP,1,22/09/2020,15000,CUSP012,PB200733
SO2007018,I2H0050001,HOOK                  SHB E1162E,2,22/09/2020,19550,CUSD019,PB200754
SO2007018,I2N0020003,SHOT CAP NUT              9*N14B12(M12),4,22/09/2020,85,CUSD019,PB200754
SO2007018,I200000826,HEX BOLT            9*B04C12X060H(M12X60L 12.9),4,22/09/2020,136,CUSD019,PB200754
SO2007018,I2A0050003,AXIS JOINT          A4 2243B,2,22/09/2020,22950,CUSD019,PB200754
SO2007043,I2S0030285,SEAL                  MS T0137(ro),1,22/09/2020,1700,CUSS006,PA200769
SO2007064,I2S0030776,SEAL              2N2310A2015,1,22/09/2020,14000,CUSS006,PA200769
SO2007066,I2E0050229,FLUKE            X92070 A0001,1,22/09/2020,23000,CUSS006,PA200780
SO2007111,I2C0010002,CARTRIDGE FILTER                   FXN-4080CG-001,4,22/09/2020,5194,CUSS006,PC200801
SO2008167,I2B0060005,BLADE          WA 2075C,2,22/09/2020,4800,CUSM006,PB200953
SO2008167,I2C0060004,CONTROL CAGE          WA 1661F,2,22/09/2020,2100,CUSM006,PB200953
SO2008167,I2D0020005,DISTRIBUTOR         WA 1802D,2,22/09/2020,2000,CUSM006,PB200953
SO2009028,I1C0160001,CALCIUM CARBONATE  (25KGS/BAG),500,22/09/2020,18,CUSM006,PC200995
SO2009043,I2L0010015,END LINER                 3A7520A0054,4,22/09/2020,9900,CUSE001,PB201004
SO2009043,I2B0060005,BLADE                         WA 2075C,6,22/09/2020,4800,CUSE001,PB201004
SO2009043,I2S0090001,STOPPER                     3A4520A0002,4,22/09/2020,3500,CUSE001,PB201004
SO2009080,I2L0010015,END LINER            3A7520A0054,4,22/09/2020,9900,CUSM006,PB201028
SO2009112,I1S0110007,STEEL SHOT        S-110 (25KGS/BAG),1000,22/09/2020,42,CUST104,SS200267
SO2009129,I2C0060004,CONTROL CAGE               WA 1661F,3,22/09/2020,2100,CUSS025,PB201055
SO2009129,I2D0020005,DISTRIBUTOR                     WA 1802D,3,22/09/2020,2000,CUSS025,PB201055
SO2009129,I2B0060005,BLADE                                 WA 2075C,3,22/09/2020,4800,CUSS025,PB201055
SO2009133,I1S0110021,STEEL SHOT   SAE-S70(SB-2PH),500,22/09/2020,55,CUST027,SS200271
SO2009136,I2B0020005,CENTERING BOLT        M16X35(9*B04C16X035H)(12.9),1,22/09/2020,160,CUSS006,PB201060
SO2009149,I1S0110016,ADVANCE SHOT            AD-4,800,22/09/2020,250,CUSY003,SZ200274
SO2009152,I1C0160001,CALCIUM CARBONATE,500,22/09/2020,18,CUSD005,PC201071
SO2009153,I1C0160001,CALCIUM CARBONATE,200,22/09/2020,18,CUSY003,PC201072
SO2006029,I2B0010112,APRON BELT                     SB D0933,1,23/09/2020,280000,CUST100,PB200677
SO2006029,I2S0030135,SEAL                  SB B3704(i),1,23/09/2020,2700,CUST100,PB200677
SO2006029,I2H0060029,HOLDER             SB B3704(ro),1,23/09/2020,1600,CUST100,PB200677
SO2006029,I1B0010023,BE BELT ASSEMBLY FOR SNB50-47 C001,1,23/09/2020,80000,CUST100,PB200677
SO2006029,I2B0030198,BRACKET            3B6170B0251,1,23/09/2020,11500,CUST100,PB200677
SO2006029,I2H0060039,HOLDER             SB B3684(ro),1,23/09/2020,1500,CUST100,PB200677
SO2006029,I2S0030196,SEAL                   SB B3684(i),1,23/09/2020,2400,CUST100,PB200677
SO2006029,I2B0020017,EYE BOLT            9*B24A12X060(M12X60),2,23/09/2020,170,CUST100,PB200677
SO2006029,I2P0030157,PACKING             ES 0002,1,23/09/2020,1600,CUST100,PB200677
SO2006029,I2M0010002,MANOMETER       DIS P723(+/-150MM),1,23/09/2020,2900,CUST100,PB200677
SO2006090,I2C0080160,CYLINDER        CJT140L-CB50B120B-ABD-EKMX52-20,1,23/09/2020,24930,CUSI003,PA200721
SO2006116,I2B0010007,HEXAGON BELT                AA-140,2,23/09/2020,2880,CUSM004,PB200740
SO2007011,I200000109,PIPE           SB C1715,1,23/09/2020,5800,CUST100,PB200751
SO2007011,I200002278,SEAL           WA 2691,1,23/09/2020,2500,CUST100,PB200751
SO2009140,I1C0160001,CALCIUM CARBONATE,1800,23/09/2020,13,CUSA002,PC201064
SO2009159,I2B0060005,BLADE                 WA 2075C,2,23/09/2020,4800,CUSM006,PB201076
SO2009159,I2C0060004,CONTROL CAGE             WA 1661F,2,23/09/2020,2100,CUSM006,PB201076
SO2009159,I2D0020005,DISTRIBUTOR                   WA 1802D,2,23/09/2020,2000,CUSM006,PB201076
SO2009159,I2L0010015,END LINER           3A7520A0054,4,23/09/2020,9900,CUSM006,PB201076
SO2009161,I2B0060005,BLADE                 WA 2075C,2,23/09/2020,4800,CUSM006,PB201078
SO2009161,I2C0060004,CONTROL CAGE             WA 1661F,2,23/09/2020,2100,CUSM006,PB201078
SO2009161,I2D0020005,DISTRIBUTOR                  WA 1802D,2,23/09/2020,2000,CUSM006,PB201078
SO2009161,I2L0010015,END LINER          3A7520A0054,4,23/09/2020,9900,CUSM006,PB201078
SO2004097,I2S0020018,ROLLED FORGE BALL SCREW     9-1652-A372,1,24/09/2020,680000,CUST054,PA200573
SO2004098,I2G0080038,LM GUIDE              9-1652-A375,2,24/09/2020,232900,CUST054,PA200573
SO2005052,I2C0080020,AIR CYLINDER            XCAH-FA-100N-40-HL24575,2,24/09/2020,33250,CUSI006,PA200609
SO2005096,I2C0080149,HYD CYLINDER,8,24/09/2020,51000,CUSI006,PA200633
SO2006034,I2L0010015,END LINER               3A7520A0054,2,24/09/2020,9900,CUSK021,PB200680
SO2006034,I2B0060005,BLADE                      WA 2075,1,24/09/2020,4800,CUSK021,PB200680
SO2006034,I2R0030017,ROLLER                     3B4050E2033,1,24/09/2020,20200,CUSK021,PB200680
SO2006034,I1B0050035,BUSH                        3B1600E2003,4,24/09/2020,5000,CUSK021,PB200680
SO2006034,I1B0070162,BEARING UNIT         YCUCFL205C,4,24/09/2020,1700,CUSK021,PB200680
SO2006054,I2L0010199,LINER                 SCB Q8007E,16,24/09/2020,34000,CUSM050,PB200696
SO2007005,I2C0070264,IMPELLER COVER              WA 3759,1,24/09/2020,130050,CUSM050,PB200748
SO2007010,I2B0070099,BEARING UNIT              CM-UCFC206,2,24/09/2020,1500,CUST100,PB200677
SO2007010,I2B0070097,BEARING UNIT              CM-UCFC207,6,24/09/2020,1600,CUST100,PB200677
SO2007010,I2B0070098,BEARING UNIT              CM-UCFC208,2,24/09/2020,1800,CUST100,PB200677
SO2007010,I2B0070095,BEARING UNIT              UCFCX10E,1,24/09/2020,2300,CUST100,PB200677
SO2007010,I2B0070096,BEARING UNIT              UCFCX10,1,24/09/2020,1900,CUST100,PB200677
SO2007010,I2S0030482,OIL SEAL    DM38(TB38)38X50X8 (9*S68V038),2,24/09/2020,200,CUST100,PB200677
SO2007010,I2S0030516,OIL SEAL    DM48(TB48)48X70X9,2,24/09/2020,250,CUST100,PB200677
SO2007010,I2S0030408,OIL SEAL             TB45X62X9,6,24/09/2020,200,CUST100,PB200677
SO2007010,I2S0030254,OIL SEAL             TB58X80X9(9K89A000810),2,24/09/2020,280,CUST100,PB200677
SO2007040,I2T0030005,UNIQUE TYRE           U-12 600X9,1,24/09/2020,40470,CUST024,PA200767
SO2007055,I200000719,NYLON VENT      9K85A000380 (DIA.30X8H),30,24/09/2020,50,CUST054,PA200775
SO2007055,I2N0030006,NYLON VENT   DIA.25X7H(SLIT:0.40MM.)(WHITE),300,24/09/2020,50,CUST054,PA200775
SO2007094,I2F0010020,FILTER BAG              U-6x19TF60-SK-S-E1,24,24/09/2020,1200,CUSM005,PB200792
SO2007099,I2L0010139,LINER                      27 004,5,24/09/2020,9500,CUSO001,PB200795
SO2007119,I200005276,LINER                PS90011 0005,1,24/09/2020,5500,CUSS006,PA200805
SO2007125,I2L0010010,LING LINER            3A7530A0021,1,24/09/2020,4465,CUSI003,PB200809
SO2009157,I2L0010015,END LINER            3A7520A0054,2,25/09/2020,9900,CUSK035,PB201074
SO2009175,I1V0010007,SOLENOID VALVE             VT317-5DZ-02,1,25/09/2020,3200,CUSS098,PA201090
SO2009175,I1V0010064,SPEED CONTROLLER       ASP530F-03-10S,1,25/09/2020,2400,CUSS098,PA201090
SO2009199,I100002545,TOUCH SCREEN  GT1455-QTBDE,1,25/09/2020,26500,CUSS098,PA201101
SO2008087,I1B0010023,BE BELT ASSEMBLY FOR CND60RA79 C002,2,28/09/2020,85000,CUST017,PB200903
SO2009165,I100012513,MOTOR  E-32-1500-SB-1:20,1,28/09/2020,20600,CUSS032,PB201082
SO2009187,I1S0110021,STEEL SHOT   SAE-S70(SB-2PH),500,28/09/2020,55,CUST027,SS200277
SO2009196,I1C0160001,CALCIUM CARBONATE        (25KGS/PACK),500,28/09/2020,18,CUST104,PC201100
SO2009203,I1V0010184,POWER VALVE             VEX1901-205DZ-G-X257,1,28/09/2020,53000,CUSS098,PA201103
SO2007101,I2C0220032,COMPOUND                  GLM-1,18,01/10/2020,360,CUSK011,SS200199
SO2007123,I2A0010002,ALUMINA BALL             V-6 (20KGS/PACK),120,01/10/2020,500,CUSS004,SS200202
SO2007128,I2C0220006,LIQUID COMPOUND          GLA-2,18,01/10/2020,320,CUSJ003,SS200203
SO2007148,I2N0010064,NOZZLE          AB-B A1666,3,01/10/2020,900,CUSS015,PB200820
SO2008069,I100001905,WATER GLASS BINDER                      HMG-05-TH,630,01/10/2020,135,CUSS006,SA200224
SO2008069,I100001904,SURFACE ACTIVE AGENT BINDER    KKZ01-TH,230,01/10/2020,161,CUSS006,SA200224
SO2008149,I1C0160001,CALCIUM CARBONATE ( 25KGS/BAG),100,01/10/2020,18,CUSS108,PC200943
SO2008150,I1S0110012,STEEL SHOT          S-230 ( 25 KGS/BAG ),450,01/10/2020,38,CUSS108,SS200236
SO2009088,I1G0050005,STEEL GRIT      GL-10(G25-GL),1000,01/10/2020,50,CUSS054,SS200263
SO2009138,I2L0010084,LINER           3A7520A2000,2,01/10/2020,25650,CUSE008,PB201062
SO2009191,I1C0160001,CALCIUM CARBONATE,100,01/10/2020,18,CUSA042,PC201098
SO2009192,I1S0110008,STEEL SHOT           S-460,1500,01/10/2020,30,CUSS012,SS200279
SO2009202,I2B0060009,BLADE          3A7610A2000,2,01/10/2020,11300,CUSE008,PB201102
SO2009213,I1C0160001,CALCIUM CARBONATE,125,01/10/2020,18,CUST009,PC201110
SO2009214,I1S0110029,BRITE SHOT                  AZ-4S (TRT),100,01/10/2020,252,CUST009,SZ200283
SO2009214,I1S0110030,BRITE SHOT                  AZ-8S (TRT),60,01/10/2020,252,CUST009,SZ200283
SO2009216,I1C0160001,CALCIUM   CARBONATE   (25KGS/BAG),400,01/10/2020,15,CUSA006,PC201112
SO2009218,I1S0110005,STEEL SHOT      SAE-S70(SB-2),400,01/10/2020,48,CUSA006,SS200284
SO2009218,I1G0050001,STEEL  GRIT       G-120 (GH-1),200,01/10/2020,45,CUSA006,SS200284
SO2009220,I1S0110013,STEEL SHOT                 S-330(SB-10),300,01/10/2020,32,CUSS152,SS200285
SO2009220,I1G0050014,STEEL GRIT                   G-80(GH),50,01/10/2020,32,CUSS152,SS200285
SO2009223,I2L0010011,SIDE LINER               3A7520A0037,2,01/10/2020,21000,CUST007,PB201115
SO2009223,I2S0090001,STOPPER                   3A4520A0002,2,01/10/2020,3500,CUST007,PB201115
SO2009223,I2L0010002,LINER                        15 003A,2,01/10/2020,3800,CUST007,PB201115
SO2009227,I1C0160001,CALCIUM CARBONATE (25KGS/BAG),225,01/10/2020,18,CUST007,PC201118
SO2010004,I100001831,STAINLESS STEEL CUT WIRE  SUS201 CCW,100,01/10/2020,215,CUSS032,SS200288
SO2010004,I100002867,STAINLESS STEEL CUT WIRE  SUS201 CCW,200,01/10/2020,215,CUSS032,SS200288
SO2010005,I1C0160001,CALCIUM   CARBONATE        (25 KGS/ PACK),250,01/10/2020,18,CUSS046,PC201124
SO2007059,I2F0010037,FILTER BAG                 H-5X36NX31-PH,1200,02/10/2020,1130,CUSD004,PC200777
SO2007095,I2T0030005,UNIQUE TYRE               U-12 600X9 RIM144,1,02/10/2020,40470,CUST024,PA200793
SO2008024,I2S0030670,BLOW SEAL              FBT D2180A,6,02/10/2020,3705,CUSB009,PA200863
SO2008181,I1K0010027,KEY                  36X20X300 NEW JIS,1,02/10/2020,1843,CUST024,PA200962
SO2008181,I1S0100042,SHAFT              8C3380F0001,1,02/10/2020,19400,CUST024,PA200962
SO2008181,I1C0040068,COLLAR           BIN A0113,1,02/10/2020,4753,CUST024,PA200962
SO2008181,I1R0060049,Z-RING             ZF-36,1,02/10/2020,388,CUST024,PA200962
SO2008181,I1C0040069,COLLAR            8C3720F0001,1,02/10/2020,5820,CUST024,PA200962
SO2008181,I1B0070119,BEARING           #51222,1,02/10/2020,3250,CUST024,PA200962
SO2008181,I1B0070168,BEARING           #23028EAD1,1,02/10/2020,8342,CUST024,PA200962
SO2009117,I1S0110009,STEEL SHOT                SAE-280(SB-8),500,02/10/2020,45,CUSS105,SS200269
SO2009150,I1S0110011,STEEL SHOT              S-550,3000,02/10/2020,25,CUST024,SS200275
SO2009184,I2B0060005,BLADE                       WA 2075C,1,02/10/2020,4800,CUST136,PB201093
SO2009184,I2C0060005,CONTROL CAGE      WA 1916B,1,02/10/2020,2100,CUST136,PB201093
SO2009184,I2D0020005,DISTRIBUTOR             WA 1802D,1,02/10/2020,2000,CUST136,PB201093
SO2009212,I1C0160001,CALCIUM CARBONATE,1800,02/10/2020,13,CUSA002,PC201109
SO2010011,I2C0060004,CONTROL CAGE               WA 1661F,10,02/10/2020,2100,CUSS025,PB201130
SO2010011,I2D0020005,DISTRIBUTOR                     WA 1802D,10,02/10/2020,2000,CUSS025,PB201130
SO2010011,I2B0060005,BLADE                                 WA 2075C,10,02/10/2020,4800,CUSS025,PB201130
SO2010018,I1S0110012,STEEL SHOT            S-230 ( 25KGS/BAG ),525,05/10/2020,32,CUST063,SS200290
SO2007020,I2L0010016,TOP LINER               3A7520A0055,3,06/10/2020,7200,CUSS002,PB200755
SO2007020,I2L0010010,LING LINER             3A7530A0021,2,06/10/2020,4700,CUSS002,PB200755
SO2007020,I2S0090001,STOPPER                 3A4520A0002,4,06/10/2020,3500,CUSS002,PB200755
SO2007031,I2L0010048,END LINER                WA 2023,4,06/10/2020,7500,CUSE001,PB200759
SO2007031,I2L0010025,LINER                         SB B3827AL,1,06/10/2020,14000,CUSE001,PB200759
SO2007031,I2L0010026,LINER                         SB B3827AR,2,06/10/2020,14000,CUSE001,PB200759
SO2007031,I2P0040007,PULLEY                       WA 2955(i),3,06/10/2020,7900,CUSE001,PB200759
SO2007031,I2D0020005,DISTRIBUTOR             WA 1802,1,06/10/2020,2000,CUSE001,PB200759
SO2007031,I2C0060004,CONTROL CAGE       WA 1661,2,06/10/2020,2100,CUSE001,PB200759
SO2007115,I2L0010307,LINER(NEW LIGHT)              JSH B5302,1,06/10/2020,61000,CUSS006,PA200803
SO2007116,I2B0050109,BUSHING       MIE 0075,1,06/10/2020,7350,CUSS006,PA200803
SO2008013,I2I0010001,INLET TROUGH            3A7580A0004,1,06/10/2020,5000,CUSJ011,PB200854
SO2008034,I2F0010001,DUST TUBE          DAB-B T0005,12,06/10/2020,2200,CUST009,PC200870
SO2008034,I2F0010002,DUST TUBE          DAB-B T0018,32,06/10/2020,2500,CUST009,PC200870
SO2008099,I1B0040001,BUCKET             BE D0022,100,06/10/2020,550,CUSI001,PB200913
SO2008105,I2N0020007,NUT                    WZ8 0320B,20,06/10/2020,500,CUSJ011,PB200919
SO2009188,I2B0060005,BLADE                      WA 2075C,2,06/10/2020,4704,CUSS006,PB201096
SO2009188,I2C0060004,CONTROL CAGE     WA 1661F,1,06/10/2020,2100,CUSS006,PB201096
SO2009188,I2L0010048,END LINER               WA 2023D,2,06/10/2020,7350,CUSS006,PB201096
SO2009190,I2M0020045,CERAMIC MEDIA (20KGS/PCS)        V3-T5X5,40,06/10/2020,345,CUSJ011,SS200278
