InvoiceNo,ItemNo,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
IV2008154,I00005340,TEST 2212,2,12/11/2020," 33,000.00 ",CUS006
IV2008156,I0030799,TEST 2213,1,12/11/2020," 1,300.00 ",CUS006
IV2008156,I0110012,TEST 2214,2,12/11/2020," 36,500.00 ",CUS006
IV2008156,I0030776,TEST 2215,2,12/11/2020," 14,000.00 ",CUS006
IV2008198,I0060036,TEST 2216,1,12/11/2020," 1,500.00 ",CUS006
IV2008199,I0070006,TEST 2217,1,12/11/2020," 6,000.00 ",CUS006
IV2008199,I0070042,TEST 2218,1,12/11/2020," 5,300.00 ",CUS006
IV2008199,I00005102,TEST 2219,1,12/11/2020," 2,000.00 ",CUS006
IV2009041,I00003902,TEST 2220,1,12/11/2020," 6,200.00 ",CUS006
IV2009044,I00005427,TEST 2221,1,12/11/2020," 23,000.00 ",CUS006
IV2009045,I0020011,TEST 2222,48,12/11/2020, 70.00 ,CUS001
IV2009060,I0020031,TEST 2223,10,12/11/2020, 210.00 ,CUS001
IV2009061,I0020012,TEST 2224,4,12/11/2020, 70.00 ,CUS001
IV2009065,I0030008,TEST 2225,1,12/11/2020," 10,000.00 ",CUS015
IV2009077,I0030183,TEST 2226,1,12/11/2020," 2,300.00 ",CUS005
IV2009077,I0030184,TEST 2227,1,12/11/2020," 4,000.00 ",CUS005
IV2009077,I0030185,TEST 2228,1,12/11/2020," 4,000.00 ",CUS005
IV2009081,I00003485,TEST 2229,2,12/11/2020," 2,000.00 ",CUS006
IV2009091,I0090002,TEST 2230,1,12/11/2020," 30,380.00 ",CUS006
IV2009097,I0010001,TEST 2231,4,12/11/2020, 800.00 ,CUS006
IV2009101,I00009409,TEST 2232,1,12/11/2020," 13,500.00 ",CUS133
IV2009101,I0010023,TEST 2233,1,12/11/2020," 54,000.00 ",CUS133
IV2009102,I00001912,TEST 2234,32,12/11/2020," 1,200.00 ",CUS133
IV2009145,I0220028,TEST 2235,36,12/11/2020, 215.00 ,CUS001
IV2009167,I00001904,TEST 2236,500,12/11/2020, 145.00 ,CUS006
IV2009167,I00001905,TEST 2237,800,12/11/2020, 115.00 ,CUS006
IV2010070,I0080100,TEST 2238,1,12/11/2020," 124,950.00 ",CUS003
IV2010082,I0060004,TEST 2239,6,12/11/2020," 4,800.00 ",CUS012
IV2010144,I0110005,TEST 2240,500,12/11/2020, 42.00 ,CUS067
IV2010213,I0060004,TEST 2241,1,12/11/2020," 2,100.00 ",CUS006
IV2010214,I0010001,TEST 2242,1,12/11/2020, 400.00 ,CUS006
IV2010214,I0060004,TEST 2243,1,12/11/2020," 2,100.00 ",CUS006
IV2010214,I0020005,TEST 2244,1,12/11/2020," 1,960.00 ",CUS006
IV2010219,I0160001,TEST 2245,900,12/11/2020, 18.00 ,CUS006
IV2010219,I0160001,TEST 2246,800,12/11/2020, 18.00 ,CUS006
IV2010230,I0110005,TEST 2247,400,12/11/2020, 48.00 ,CUS006
IV2010230,I0050001,TEST 2248,200,12/11/2020, 45.00 ,CUS006
IV2010232,I0160001,TEST 2249,300,12/11/2020, 15.00 ,CUS006
IV2010234,I0030001,TEST 2250,1,12/11/2020," 11,800.00 ",CUS001
IV2011002,I0040006,TEST 2251,24,12/11/2020, 300.00 ,CUS001
IV2011006,I0060007,TEST 2252,1,12/11/2020," 2,100.00 ",CUS027
IV2011006,I0020005,TEST 2253,1,12/11/2020," 2,000.00 ",CUS027
IV2011016,I0160001,TEST 2254,250,12/11/2020, 18.00 ,CUS005
IV2011032,I0110011,TEST 2255,3000,12/11/2020, 25.00 ,CUS024
IV2011056,I0010015,TEST 2256,2,12/11/2020," 9,405.00 ",CUS003
IV2011072,I0160001,TEST 2257,200,12/11/2020, 18.00 ,CUS016
IV2011079,I0060004,TEST 2258,2,12/11/2020," 2,100.00 ",CUS006
IV2011079,I0020005,TEST 2259,2,12/11/2020," 1,960.00 ",CUS006
IV2011082,I0060005,TEST 2260,2,12/11/2020," 4,800.00 ",CUS006
IV2011082,I0060004,TEST 2261,2,12/11/2020," 2,700.00 ",CUS006
IV2011082,I0020005,TEST 2262,2,12/11/2020," 2,600.00 ",CUS006
IV2011083,I0060005,TEST 2263,2,12/11/2020," 4,800.00 ",CUS006
IV2011083,I0060004,TEST 2264,2,12/11/2020," 2,700.00 ",CUS006
IV2011083,I0020005,TEST 2265,2,12/11/2020," 2,600.00 ",CUS006
IV2011092,I0060005,TEST 2266,2,12/11/2020," 4,704.00 ",CUS006
IV2011097,I0020005,TEST 2267,1,12/11/2020," 1,960.00 ",CUS006
IV2011103,I0010015,TEST 2268,2,12/11/2020," 9,405.00 ",CUS003
IV2011104,I0160001,TEST 2269,500,12/11/2020, 18.00 ,CUS018
IV2010190,I0110003,TEST 2270,40,13/11/2020, 252.20 ,CUS009
IV2010190,I0110003,TEST 2271,60,13/11/2020, 252.20 ,CUS009
IV2011019,I0110007,TEST 2272,1000,13/11/2020, 42.00 ,CUS104
IV2011113,I00006212,TEST 2273,1,13/11/2020," 186,000.00 ",CUS003
IV2011114,I00006211,TEST 2274,1,13/11/2020," 186,000.00 ",CUS003
IV2008052,I00005188,TEST 2275,1,14/11/2020," 11,000.00 ",CUS025
IV2008052,I0030085,TEST 2276,1,14/11/2020," 12,600.00 ",CUS025
IV2008052,I0080100,TEST 2277,1,14/11/2020," 30,300.00 ",CUS025
IV2008054,I0010004,TEST 2278,9,14/11/2020," 3,100.00 ",CUS001
IV2008058,I0020039,TEST 2279,1,14/11/2020," 54,000.00 ",CUS011
IV2008059,I0020038,TEST 2280,1,14/11/2020," 51,000.00 ",CUS011
IV2008104,I0070045,TEST 2281,1,14/11/2020," 28,000.00 ",CUS011
IV2008104,I0060005,TEST 2282,1,14/11/2020," 4,800.00 ",CUS011
IV2008104,I0060004,TEST 2283,1,14/11/2020," 2,100.00 ",CUS011
IV2008104,I0020005,TEST 2284,1,14/11/2020," 2,000.00 ",CUS011
IV2010241,I0050009,TEST 2285,1,14/11/2020," 17,385.00 ",CUS001
IV2010241,I0070015,TEST 2286,1,14/11/2020," 57,000.00 ",CUS001
IV2010243,I0030001,TEST 2287,2,14/11/2020," 3,420.00 ",CUS001
IV2010243,I0070006,TEST 2288,1,14/11/2020," 12,635.00 ",CUS001
IV2011067,I0060004,TEST 2289,1,14/11/2020," 2,100.00 ",CUS025
IV2011068,I0060005,TEST 2290,1,14/11/2020," 4,800.00 ",CUS025
IV2011069,I0070009,TEST 2291,1,14/11/2020," 8,360.00 ",CUS001
IV2011069,I0070011,TEST 2292,1,14/11/2020," 14,535.00 ",CUS001
IV2011069,I0070015,TEST 2293,1,14/11/2020," 57,000.00 ",CUS001
IV2011073,I0060005,TEST 2294,2,14/11/2020," 4,800.00 ",CUS022
IV2011073,I0060004,TEST 2295,2,14/11/2020," 2,100.00 ",CUS022
IV2011073,I0020005,TEST 2296,2,14/11/2020," 2,000.00 ",CUS022
IV2011073,I0030009,TEST 2297,2,14/11/2020, 500.00 ,CUS022
IV2011073,I0010001,TEST 2298,2,14/11/2020, 400.00 ,CUS022
IV2011074,IM0020045,TEST 2299,40,14/11/2020, 345.00 ,CUS011
IV2011109,I0050003,TEST 2300,300,14/11/2020, 43.00 ,CUS001
IV2011117,I0160001,TEST 2301,500,14/11/2020, 18.00 ,CUS104
IV2011118,I0020005,TEST 2302,2,14/11/2020," 2,700.00 ",CUS005
IV2011118,I0020005,TEST 2303,1,14/11/2020, 160.00 ,CUS005
IV2011118,I0060005,TEST 2304,2,14/11/2020," 4,800.00 ",CUS005
IV2011118,I0060004,TEST 2305,2,14/11/2020," 2,800.00 ",CUS005
IV2011118,I0030009,TEST 2306,1,14/11/2020, 500.00 ,CUS005
IV2011118,I0020001,TEST 2307,1,14/11/2020, 300.00 ,CUS005
IV2011139,I00003119,TEST 2308,500,14/11/2020, 187.00 ,CUS013
IV2007001,I0060008,TEST 2309,1,16/11/2020," 2,100.00 ",CUS104
IV2007001,I0170003,TEST 2310,1,16/11/2020," 241,000.00 ",CUS104
IV2007001,I00005032,TEST 2311,1,16/11/2020," 26,000.00 ",CUS104
IV2007001,I00005033,TEST 2312,1,16/11/2020," 26,000.00 ",CUS104
IV2007001,I00005037,TEST 2313,1,16/11/2020, 230.00 ,CUS104
IV2007001,IK0010046,TEST 2314,1,16/11/2020, 150.00 ,CUS104
IV2007001,I00005269,TEST 2315,3,16/11/2020," 70,000.00 ",CUS104
IV2007001,I0020118,TEST 2316,8,16/11/2020, 120.00 ,CUS104
IV2007001,I00005270,TEST 2317,1,16/11/2020," 6,700.00 ",CUS104
IV2007001,I00011737,TEST 2318,5,16/11/2020," 3,500.00 ",CUS104
IV2007001,I0010034,TEST 2319,1,16/11/2020," 7,500.00 ",CUS104
IV2007001,I00005268,TEST 2320,1,16/11/2020," 18,000.00 ",CUS104
IV2007001,I0040100,TEST 2321,1,16/11/2020," 1,000.00 ",CUS104
IV2007001,I0010056,TEST 2322,1,16/11/2020," 3,500.00 ",CUS104
IV2007001,I0020002,TEST 2323,24,16/11/2020, 70.00 ,CUS104
IV2007001,I0040027,TEST 2324,8,16/11/2020," 1,700.00 ",CUS104
IV2007001,I0020049,TEST 2325,6,16/11/2020, 130.00 ,CUS104
IV2007001,I00005272,TEST 2326,1,16/11/2020," 105,000.00 ",CUS104
IV2007001,I00005273,TEST 2327,1,16/11/2020," 110,000.00 ",CUS104
IV2007001,I00005041,TEST 2328,1,16/11/2020," 16,000.00 ",CUS104
IV2007001,I0010031,TEST 2329,1,16/11/2020," 3,600.00 ",CUS104
IV2007001,I0010037,TEST 2330,2,16/11/2020," 9,900.00 ",CUS104
IV2007001,I0040004,TEST 2331,1,16/11/2020," 16,500.00 ",CUS104
IV2007001,I0040004,TEST 2332,2,16/11/2020," 13,000.00 ",CUS104
IV2007001,I00005049,TEST 2333,3,16/11/2020," 14,500.00 ",CUS104
IV2007001,I0060033,TEST 2334,3,16/11/2020," 1,700.00 ",CUS104
IV2007001,I0010020,TEST 2335,3,16/11/2020, 900.00 ,CUS104
IV2007001,I0020019,TEST 2336,8,16/11/2020, 150.00 ,CUS104
IV2009170,I00011513,TEST 2337,1,16/11/2020," 98,000.00 ",CUS006
IV2010197,I0110007,TEST 2338,500,16/11/2020, 42.00 ,CUS067
IV2011111,I0030008,TEST 2339,1,17/11/2020," 10,300.00 ",CUS054
IV2011141,I0110013,TEST 2340,300,17/11/2020, 32.00 ,CUS152
IV2011141,I0050014,TEST 2341,50,17/11/2020, 32.00 ,CUS152
IV2008033,I00005384,TEST 2342,1,18/11/2020," 18,000.00 ",CUS003
IV2008116,I00005055,TEST 2343,1,18/11/2020," 15,500.00 ",CUS013
IV2008116,I00005057,TEST 2344,1,18/11/2020," 12,000.00 ",CUS013
IV2008116,I00005058,TEST 2345,1,18/11/2020," 2,100.00 ",CUS013
IV2008141,IM0040004,TEST 2346,2,18/11/2020," 38,000.00 ",CUS004
IV2009024,I0030008,TEST 2347,1,18/11/2020," 10,300.00 ",CUS004
IV2009025,I0030086,TEST 2348,2,18/11/2020," 1,980.00 ",CUS024
IV2009116,I00005456,TEST 2349,2,18/11/2020," 10,000.00 ",CUS013
IV2009116,I00005457,TEST 2350,4,18/11/2020," 1,200.00 ",CUS013
IV2009122,I00002467,TEST 2351,1,18/11/2020," 5,700.00 ",CUS001
IV2009122,I0020002,TEST 2352,1,18/11/2020, 712.50 ,CUS001
IV2009163,I0010181,TEST 2353,4,18/11/2020," 3,800.00 ",CUS008
IV2009211,IM0020070,TEST 2354,80,18/11/2020, 400.00 ,CUS022
IV2010003,I0010108,TEST 2355,2,18/11/2020," 21,700.00 ",CUS002
IV2010003,I0020004,TEST 2356,500,18/11/2020, 80.00 ,CUS002
IV2010003,I0020001,TEST 2357,8,18/11/2020, 100.00 ,CUS002
IV2010003,I0020001,TEST 2358,8,18/11/2020, 130.00 ,CUS002
IV2010003,I0010001,TEST 2359,8,18/11/2020, 80.00 ,CUS002
IV2010126,I0090001,TEST 2360,1,18/11/2020," 3,500.00 ",CUS002
IV2010176,I0030009,TEST 2361,4,18/11/2020, 500.00 ,CUS002
IV2010199,I0010013,TEST 2362,300,18/11/2020, 620.00 ,CUS006
IV2011048,I0060004,TEST 2363,3,18/11/2020," 2,100.00 ",CUS005
IV2011048,I0060005,TEST 2364,6,18/11/2020," 4,800.00 ",CUS005
IV2011101,I0110011,TEST 2365,3000,18/11/2020, 25.00 ,CUS024
IV2011135,I0020005,TEST 2366,3,18/11/2020, 152.00 ,CUS001
IV2011135,I0030009,TEST 2367,4,18/11/2020, 475.00 ,CUS001
IV2011150,I0060005,TEST 2368,7,18/11/2020," 4,080.00 ",CUS013
IV2011150,I0060004,TEST 2369,7,18/11/2020," 1,785.00 ",CUS013
IV2011150,I0020005,TEST 2370,7,18/11/2020," 1,700.00 ",CUS013
IV2011150,I0010015,TEST 2371,2,18/11/2020," 8,415.00 ",CUS013
IV2009073,IM0040004,TEST 2372,1,20/11/2020," 38,000.00 ",CUS004
IV2010109,I0110031,TEST 2373,40,20/11/2020, 280.00 ,CUS012
IV2010110,I0110031,TEST 2374,60,20/11/2020, 280.00 ,CUS012
IV2011145,I0110021,TEST 2375,500,20/11/2020, 55.00 ,CUS027
IV2011152,I0110022,TEST 2376,600,20/11/2020, 240.00 ,CUS034
IV2011162,I0110029,TEST 2377,40,20/11/2020, 252.20 ,CUS009
IV2011170,I00002867,TEST 2378,125,20/11/2020, 215.00 ,CUS032
IV2007079,I0030001,TEST 2379,2,23/11/2020," 11,800.00 ",CUS054
IV2009118,I0060005,TEST 2380,10,23/11/2020," 4,800.00 ",CUS054
IV2009118,I0060004,TEST 2381,10,23/11/2020," 2,100.00 ",CUS054
IV2009118,I0020005,TEST 2382,10,23/11/2020," 2,000.00 ",CUS054
IV2010039,I00001904,TEST 2383,170,23/11/2020, 145.00 ,CUS006
IV2010039,I00001905,TEST 2384,470,23/11/2020, 115.00 ,CUS006
IV2011165,I0160001,TEST 2385,200,23/11/2020, 18.00 ,CUS36
IV2011166,I0160001,TEST 2386,75,23/11/2020, 18.00 ,CUS007
IV2011171,I0010015,TEST 2387,4,23/11/2020," 9,900.00 ",CUS01
IV2011171,I0010016,TEST 2388,2,23/11/2020," 7,200.00 ",CUS01
IV2011181,I00003119,TEST 2389,500,23/11/2020, 187.00 ,CUS013
IV2011195,I0060038,TEST 2390,1,23/11/2020," 31,825.00 ",CUS009
IV2011195,I0030443,TEST 2391,1,23/11/2020," 2,945.00 ",CUS009
IV2011195,I0030103,TEST 2392,2,23/11/2020, 902.50 ,CUS009
IV2011196,I0110011,TEST 2393,3000,23/11/2020, 25.00 ,CUS024
IV2012019,I010113,TEST 2394,1,24/11/2020," 15,300.00 ",CUS001
IV2012019,I010115,TEST 2395,1,24/11/2020," 12,100.00 ",CUS001
IV2012019,I0070193,TEST 2396,1,24/11/2020," 31,000.00 ",CUS001
IV2005044,I0080156,TEST 2397,1,25/11/2020," 300,000.00 ",CUS006
IV2009124,I0070042,TEST 2398,1,25/11/2020," 5,300.00 ",CUS006
IV2009124,I00005102,TEST 2399,1,25/11/2020," 2,000.00 ",CUS006
IV2009127,I00012286,TEST 2400,1,25/11/2020," 32,500.00 ",CUS006
IV2009137,I0030009,TEST 2401,8,25/11/2020, 500.00 ,CUS006
IV2009137,I0060005,TEST 2402,1,25/11/2020," 4,704.00 ",CUS006
IV2009137,I0010001,TEST 2403,1,25/11/2020, 400.00 ,CUS006
IV2011198,I0010001,TEST 2404,3,25/11/2020," 6,700.00 ",CUS054
IV2011212,I0160001,TEST 2405,3000,25/11/2020, 10.00 ,CUS044
IV2011215,I0060005,TEST 2406,3,25/11/2020," 4,800.00 ",CUS001
IV2010159,I00003581,TEST 2407,1,26/11/2020," 57,000.00 ",CUS005
IV2011219,I0110003,TEST 2408,600,27/11/2020, 225.00 ,CUS007
IV2008178,I0040138,TEST 2409,1,30/11/2020," 3,600.00 ",CUS006
IV2008178,I0040137,TEST 2410,1,30/11/2020," 2,200.00 ",CUS006
IV2008178,I0040063,TEST 2411,1,30/11/2020," 12,700.00 ",CUS006
IV2008178,I0040064,TEST 2412,1,30/11/2020," 14,500.00 ",CUS006
IV2008178,I0040005,TEST 2413,1,30/11/2020," 18,500.00 ",CUS006
IV2008178,I0040006,TEST 2414,1,30/11/2020," 16,000.00 ",CUS006
IV2008178,I0040008,TEST 2415,1,30/11/2020," 21,000.00 ",CUS006
IV2008178,I0030001,TEST 2416,2,30/11/2020," 27,500.00 ",CUS006
IV2008178,I0060031,TEST 2417,2,30/11/2020," 1,700.00 ",CUS006
IV2008178,I0010019,TEST 2418,2,30/11/2020," 9,500.00 ",CUS006
IV2008178,I0030017,TEST 2419,2,30/11/2020," 2,300.00 ",CUS006
IV2008178,I0030018,TEST 2420,2,30/11/2020," 3,000.00 ",CUS006
IV2008178,I0030027,TEST 2421,2,30/11/2020," 1,300.00 ",CUS006
IV2008178,I0020034,TEST 2422,2,30/11/2020," 17,500.00 ",CUS006
IV2008179,I0010009,TEST 2423,2,30/11/2020," 18,700.00 ",CUS006
IV2008179,I0030001,TEST 2424,2,30/11/2020," 27,500.00 ",CUS006
IV2008179,I00003086,TEST 2425,1,30/11/2020," 18,300.00 ",CUS006
IV2008179,I00003087,TEST 2426,1,30/11/2020," 18,300.00 ",CUS006
IV2008179,I0040138,TEST 2427,1,30/11/2020," 3,600.00 ",CUS006
IV2008179,I0040063,TEST 2428,1,30/11/2020," 12,700.00 ",CUS006
IV2008179,I00004662,TEST 2429,2,30/11/2020," 1,300.00 ",CUS006
IV2008179,I00004663,TEST 2430,2,30/11/2020, 700.00 ,CUS006
IV2008179,I0040064,TEST 2431,1,30/11/2020," 14,500.00 ",CUS006
IV2008179,I0040005,TEST 2432,1,30/11/2020," 18,500.00 ",CUS006
IV2008179,I0040006,TEST 2433,1,30/11/2020," 16,000.00 ",CUS006
IV2008179,I0010002,TEST 2434,2,30/11/2020," 3,800.00 ",CUS006
IV2008179,I0010003,TEST 2435,2,30/11/2020," 3,600.00 ",CUS006
IV2008179,I0020006,TEST 2436,8,30/11/2020, 500.00 ,CUS006
IV2008203,I00001611,TEST 2437,2,30/11/2020," 1,300.00 ",CUS006
IV2008203,I0040137,TEST 2438,1,30/11/2020," 2,200.00 ",CUS006
IV2008203,I0040138,TEST 2439,1,30/11/2020," 3,600.00 ",CUS006
IV2008203,I0040138,TEST 2440,1,30/11/2020," 3,600.00 ",CUS006
IV2008203,I0040063,TEST 2441,1,30/11/2020," 12,700.00 ",CUS006
IV2008203,I0040064,TEST 2442,1,30/11/2020," 14,500.00 ",CUS006
IV2008203,I00012394,TEST 2443,2,30/11/2020," 2,300.00 ",CUS006
IV2008203,I0020060,TEST 2444,2,30/11/2020, 290.00 ,CUS006
IV2008203,I0010003,TEST 2445,2,30/11/2020, 800.00 ,CUS006
IV2008203,I0010004,TEST 2446,2,30/11/2020, 900.00 ,CUS006
IV2008203,I0020058,TEST 2447,2,30/11/2020," 1,700.00 ",CUS006
IV2008203,I0070004,TEST 2448,1,30/11/2020," 9,700.00 ",CUS006
IV2008203,I00012393,TEST 2449,1,30/11/2020," 5,300.00 ",CUS006
IV2008203,I0040005,TEST 2450,1,30/11/2020," 18,500.00 ",CUS006
IV2008203,I0040006,TEST 2451,1,30/11/2020," 16,000.00 ",CUS006
IV2008203,I0040008,TEST 2452,1,30/11/2020," 21,000.00 ",CUS006
IV2008203,I0010023,TEST 2453,1,30/11/2020," 47,600.00 ",CUS006
IV2008204,I00003166,TEST 2454,2,30/11/2020, 580.00 ,CUS006
IV2008204,I00004663,TEST 2455,2,30/11/2020, 380.00 ,CUS006
IV2008204,I00001611,TEST 2456,2,30/11/2020," 1,300.00 ",CUS006
IV2008204,I0040137,TEST 2457,1,30/11/2020," 2,200.00 ",CUS006
IV2008204,I0040138,TEST 2458,1,30/11/2020," 3,600.00 ",CUS006
IV2008204,I0040138,TEST 2459,1,30/11/2020," 3,600.00 ",CUS006
IV2008204,I0040006,TEST 2460,1,30/11/2020," 16,000.00 ",CUS006
IV2008204,I0030001,TEST 2461,2,30/11/2020," 27,500.00 ",CUS006
IV2008204,I0040008,TEST 2462,1,30/11/2020," 21,000.00 ",CUS006
IV2008204,I0070004,TEST 2463,1,30/11/2020," 9,700.00 ",CUS006
IV2008204,I00012393,TEST 2464,1,30/11/2020," 5,300.00 ",CUS006
IV2008204,I00012394,TEST 2465,2,30/11/2020," 2,300.00 ",CUS006
IV2008204,I0040005,TEST 2466,1,30/11/2020," 18,500.00 ",CUS006
IV2008204,I0040063,TEST 2467,1,30/11/2020," 12,700.00 ",CUS006
IV2008204,I0040064,TEST 2468,1,30/11/2020," 14,500.00 ",CUS006
IV2008204,I0010023,TEST 2469,1,30/11/2020," 50,000.00 ",CUS006
IV2011183,I0110012,TEST 2470,12000,30/11/2020, 25.25 ,CUS047
IV2004125,I010111,TEST 2471,1,01/12/2020," 14,700.00 ",CUS025
IV2005016,IM0020038,TEST 2472,1000,01/12/2020, 80.00 ,CUS012
IV2005016,IM0020038,TEST 2473,1000,01/12/2020, 80.00 ,CUS012
IV2005016,IM0020038,TEST 2474,1000,01/12/2020, 80.00 ,CUS012
IV2005017,I0220018,TEST 2475,828,01/12/2020, 142.00 ,CUS012
IV2005017,I0220018,TEST 2476,828,01/12/2020, 142.00 ,CUS012
IV2005095,I010084,TEST 2477,1,01/12/2020," 37,800.00 ",CUS006
IV2007072,I0090007,TEST 2478,1,01/12/2020," 99,500.00 ",CUS055
IV2007072,I0030009,TEST 2479,1,01/12/2020," 715,600.00 ",CUS055
IV2007084,I0060005,TEST 2480,13,01/12/2020," 4,800.00 ",CUS010
IV2007084,I0060004,TEST 2481,13,01/12/2020," 2,100.00 ",CUS010
IV2007084,I0020005,TEST 2482,13,01/12/2020," 2,000.00 ",CUS010
IV2007084,I0020005,TEST 2483,13,01/12/2020, 160.00 ,CUS010
IV2007084,I0010001,TEST 2484,13,01/12/2020, 400.00 ,CUS010
IV2007084,I0010101,TEST 2485,1,01/12/2020," 228,000.00 ",CUS010
IV2007084,II0010001,TEST 2486,2,01/12/2020," 5,000.00 ",CUS010
IV2007084,I0010015,TEST 2487,2,01/12/2020," 9,900.00 ",CUS010
IV2007084,I0010016,TEST 2488,3,01/12/2020," 7,200.00 ",CUS010
IV2007084,I0010011,TEST 2489,2,01/12/2020," 21,000.00 ",CUS010
IV2007084,I0170002,TEST 2490,1,01/12/2020," 83,000.00 ",CUS010
IV2007084,I0040001,TEST 2491,1,01/12/2020," 20,300.00 ",CUS010
IV2008090,I0030178,TEST 2492,2,01/12/2020, 264.60 ,CUS006
IV2008090,I0030178,TEST 2493,6,01/12/2020, 264.60 ,CUS006
IV2008100,I0010041,TEST 2494,2,01/12/2020," 2,755.00 ",CUS051
IV2008100,I0010591,TEST 2495,2,01/12/2020," 3,727.00 ",CUS051
IV2008100,I0010046,TEST 2496,2,01/12/2020," 9,500.00 ",CUS051
IV2008100,I0010047,TEST 2497,2,01/12/2020," 11,200.00 ",CUS051
IV2008100,I00004333,TEST 2498,1,01/12/2020," 1,700.00 ",CUS051
IV2008100,I00004068,TEST 2499,2,01/12/2020," 9,500.00 ",CUS051
IV2008100,I0011133,TEST 2500,2,01/12/2020," 9,025.00 ",CUS051
IV2008100,I0010196,TEST 2501,2,01/12/2020," 6,175.00 ",CUS051
IV2008100,I00004065,TEST 2502,2,01/12/2020," 2,375.00 ",CUS051
IV2008100,I00004069,TEST 2503,2,01/12/2020," 3,610.00 ",CUS051
IV2008100,I00004070,TEST 2504,2,01/12/2020," 2,660.00 ",CUS051
IV2008103,I0030084,TEST 2505,1,01/12/2020," 9,215.00 ",CUS025
IV2008124,I00002248,TEST 2506,1,01/12/2020," 220,000.00 ",CUS002
IV2008125,I00005347,TEST 2507,1,01/12/2020," 480,000.00 ",CUS002
IV2008153,I0040025,TEST 2508,1,01/12/2020," 21,000.00 ",CUS022
IV2008153,I0040082,TEST 2509,1,01/12/2020," 30,000.00 ",CUS022
IV2008163,I00005418,TEST 2510,1,01/12/2020," 9,600.00 ",CUS07
IV2008163,I00005419,TEST 2511,1,01/12/2020," 2,300.00 ",CUS07
IV2008180,I00005398,TEST 2512,2,01/12/2020," 40,000.00 ",CUS003
IV2008191,I0030009,TEST 2513,12,01/12/2020, 500.00 ,CUS006
IV2008191,I0060005,TEST 2514,2,01/12/2020," 4,704.00 ",CUS006
IV2008191,I0060004,TEST 2515,1,01/12/2020," 2,100.00 ",CUS006
IV2008191,I0020005,TEST 2516,3,01/12/2020, 160.00 ,CUS006
IV2008191,I0010001,TEST 2517,3,01/12/2020, 400.00 ,CUS006
IV2008191,I0030010,TEST 2518,2,01/12/2020, 730.00 ,CUS006
IV2008191,I0020019,TEST 2519,8,01/12/2020, 150.00 ,CUS006
IV2008191,IK0010096,TEST 2520,2,01/12/2020, 215.60 ,CUS006
IV2008191,I0070009,TEST 2521,1,01/12/2020," 8,800.00 ",CUS006
IV2008191,I0040002,TEST 2522,2,01/12/2020," 4,000.00 ",CUS006
IV2009011,I00005161,TEST 2523,1,01/12/2020," 1,000.00 ",CUS006
IV2009020,I0030047,TEST 2524,1,01/12/2020," 33,440.00 ",CUS055
IV2009046,I0030154,TEST 2525,1,01/12/2020," 7,300.00 ",CUS006
IV2009070,I0060006,TEST 2526,10,01/12/2020," 5,700.00 ",CUS003
IV2009115,I0080142,TEST 2527,1,01/12/2020," 48,000.00 ",CUS001
IV2009119,I0030109,TEST 2528,1,01/12/2020," 9,215.00 ",CUS055
IV2009139,I00001370,TEST 2529,2,01/12/2020," 15,000.00 ",CUS006
IV2009139,I00001371,TEST 2530,2,01/12/2020," 19,000.00 ",CUS006
IV2009139,I00001372,TEST 2531,6,01/12/2020," 19,700.00 ",CUS006
IV2009168,I0030004,TEST 2532,500,01/12/2020, 47.50 ,CUS024
IV2009169,I00002821,TEST 2533,1,01/12/2020," 7,700.00 ",CUS006
IV2009171,I0020017,TEST 2534,10,01/12/2020, 170.00 ,CUS002
IV2009171,I0010003,TEST 2535,10,01/12/2020, 950.00 ,CUS002
IV2009171,I0030009,TEST 2536,10,01/12/2020, 500.00 ,CUS002
IV2009174,I0130006,TEST 2537,18,01/12/2020, 850.00 ,CUS004
IV2009181,I0010003,TEST 2538,9,01/12/2020," 12,000.00 ",CUS013
IV2009181,I00005450,TEST 2539,6,01/12/2020," 1,300.00 ",CUS013
IV2009189,I0030228,TEST 2540,1,01/12/2020," 10,290.00 ",CUS006
IV2009193,I0150001,TEST 2541,75,01/12/2020," 1,450.00 ",CUS04
IV2010012,I0020015,TEST 2542,4,01/12/2020, 200.00 ,CUS002
IV2010012,I0060001,TEST 2543,5,01/12/2020," 6,200.00 ",CUS002
IV2010014,I0220026,TEST 2544,18,01/12/2020, 225.00 ,CUS103
IV2010032,I0030086,TEST 2545,2,01/12/2020," 1,980.00 ",CUS024
IV2010036,I0010048,TEST 2546,4,01/12/2020," 7,500.00 ",CUS01
IV2010036,I0010049,TEST 2547,1,01/12/2020," 4,600.00 ",CUS01
IV2010036,I0010050,TEST 2548,4,01/12/2020," 6,300.00 ",CUS01
IV2010043,I0010007,TEST 2549,2,01/12/2020," 8,800.00 ",CUS012
IV2010044,I0010007,TEST 2550,2,01/12/2020," 8,800.00 ",CUS012
IV2010045,I0010007,TEST 2551,2,01/12/2020," 8,800.00 ",CUS012
IV2010046,I0040017,TEST 2552,6,01/12/2020, 550.00 ,CUS012
IV2010114,I0040001,TEST 2553,375,01/12/2020, 257.21 ,CUS062
IV2010133,I0110012,TEST 2554,500,01/12/2020, 38.00 ,CUS108
IV2011041,I0070081,TEST 2555,2,01/12/2020, 150.00 ,CUS002
IV2011041,I00012611,TEST 2556,2,01/12/2020, 120.00 ,CUS002
